Horizon,Model,Symbol,MSE,QLIKE
t+7,HAR-TCJ,XRP,3.0123101329017523e-05,0.37358860816060974
t+7,LHAR-TCJ,ADA,2.555927380531661e-05,0.28031461666308527
t+7,LHAR-TCJ,BNB,1.2124469313933023e-05,0.30836294980428436
t+7,LHAR-TCJ,BTC,2.07968190436131e-06,0.23215326089762217
t+7,LHAR-TCJ,DOGE,1.647436243314516e-05,0.4087034874830131
t+7,LHAR-TCJ,ETH,8.21886710101872e-06,0.25067328631294306
t+7,LHAR-TCJ,TRX,6.016229869605609e-06,0.32731459570194177
t+7,LHAR-TCJ,XLM,2.172663972725753e-05,0.32054594987980944
t+7,LHAR-TCJ,XRP,3.0453316972997893e-05,0.3768400328281263
t+7,Fuzzy HAR,ADA,1.5136073244361658e-05,0.21650412075774095
t+7,Fuzzy HAR,BNB,6.743219692646442e-06,0.2541146785318645
t+7,Fuzzy HAR,BTC,1.3606716555476745e-06,0.18059312366204783
t+7,Fuzzy HAR,DOGE,1.0788839358942835e-05,0.4206539139946659
t+7,Fuzzy HAR,ETH,5.251556623280944e-06,0.1920027305337859
t+7,Fuzzy HAR,TRX,3.96328649133467e-06,0.24570868397523718
t+7,Fuzzy HAR,XLM,1.099901413742862e-05,0.20231022962773268
t+7,Fuzzy HAR,XRP,1.3559497572980905e-05,0.2902675862207218
t+7,RV-FTS,ADA,2.8998533534246188e-05,0.3322912126797533
t+7,RV-FTS,BNB,1.5510788904880847e-05,0.33145621627817906
t+7,RV-FTS,BTC,3.1982812197900925e-06,0.30103478553675733
t+7,RV-FTS,DOGE,1.608487392386462e-05,0.44691407036621567
t+7,RV-FTS,ETH,8.846932015668799e-06,0.29225045534174016
t+7,RV-FTS,TRX,8.214553850222869e-06,0.3591230421062638
t+7,RV-FTS,XLM,2.2300024476288394e-05,0.37570906455058745
t+7,RV-FTS,XRP,2.9433912005218657e-05,0.4823147587768977
t+30,HAR,ADA,1.3564586547604272e-05,0.2623594645168564
t+30,HAR,BNB,7.098883755048769e-06,0.290537437650394
t+30,HAR,BTC,1.1078048660680782e-06,0.18778772940291993
t+30,HAR,DOGE,1.629550051717967e-05,0.3640303496882372
t+30,HAR,ETH,4.29714243969591e-06,0.24500772725432726
t+30,HAR,TRX,3.971994008269262e-06,0.34010913172693163
t+30,HAR,XLM,1.1008767161313512e-05,0.27349743056288495
t+30,HAR,XRP,1.155570966427454e-05,0.21726770524120748
t+30,HAR-CJ,ADA,1.3345345021427417e-05,0.2568206529570125
t+30,HAR-CJ,BNB,6.960267028016337e-06,0.2840952585732385
t+30,HAR-CJ,BTC,1.0686041791277989e-06,0.1812281105353129
t+30,HAR-CJ,DOGE,1.5569185123800786e-05,0.3567120462475
t+30,HAR-CJ,ETH,4.20599482514e-06,0.23754284075450618
t+30,HAR-CJ,TRX,3.883961921495724e-06,0.3277893832882539
t+30,HAR-CJ,XLM,1.0890682565832483e-05,0.2700032363089385
t+30,HAR-CJ,XRP,1.147461949224335e-05,0.2158691495424119
t+30,HAR-SJ,ADA,1.5133605907254812e-05,0.2578965783129872
t+30,HAR-SJ,BNB,7.069090023794438e-06,0.28511269031171665
t+30,HAR-SJ,BTC,1.1765548250124453e-06,0.18229639029046338
t+30,HAR-SJ,DOGE,1.572834378647137e-05,0.352929603909042
t+30,HAR-SJ,ETH,4.604708976600127e-06,0.23916865310302673
t+30,HAR-SJ,TRX,3.885966259904745e-06,0.32155632721973804
t+30,HAR-SJ,XLM,1.1357219417277546e-05,0.2707607606621906
t+30,HAR-SJ,XRP,1.1352311982383228e-05,0.210706366415377
t+30,HAR-TCJ,ADA,1.2126607156987798e-05,0.24974567514908502
t+30,HAR-TCJ,BNB,6.830885968400008e-06,0.27334175998487203
t+30,HAR-TCJ,BTC,1.0398381791435067e-06,0.17281033161137838
t+30,HAR-TCJ,DOGE,1.5056820735895903e-05,0.34815506875784796
t+30,HAR-TCJ,ETH,4.074586514478636e-06,0.22314667259546458
t+30,HAR-TCJ,TRX,3.293756217109836e-06,0.28575953336734905
t+30,HAR-TCJ,XLM,1.1816566115611923e-05,0.2728529975225729
t+30,HAR-TCJ,XRP,1.2355111798397867e-05,0.21459028311222866
t+30,LHAR-TCJ,ADA,1.2104529755696224e-05,0.23414736812549738
t+30,LHAR-TCJ,BNB,6.875334252374697e-06,0.27579242691274103
t+30,LHAR-TCJ,BTC,1.047693759523131e-06,0.17374137521557328
t+30,LHAR-TCJ,DOGE,1.5115827053840681e-05,0.3483690888063998
t+30,LHAR-TCJ,ETH,4.105209766606816e-06,0.22534695071814811
t+30,LHAR-TCJ,TRX,3.3369779645515058e-06,0.2878863936713669
t+30,LHAR-TCJ,XLM,1.1982644670199088e-05,0.27387983688575374
t+30,LHAR-TCJ,XRP,1.2438979759988413e-05,0.21525433022665008
t+30,Fuzzy HAR,ADA,4.752112566480353e-06,0.10684796778511198
t+30,Fuzzy HAR,BNB,2.6588150171553878e-06,0.1225351042518526
t+30,Fuzzy HAR,BTC,5.455952638810858e-07,0.0910607870974992
t+30,Fuzzy HAR,DOGE,4.129008069332321e-06,0.16933865911410723
t+30,Fuzzy HAR,ETH,2.1671696779397146e-06,0.10998421173133269
t+30,Fuzzy HAR,TRX,1.4442707094367044e-06,0.14497002445689586
t+30,Fuzzy HAR,XLM,4.661369648439219e-06,0.12566374010447529
t+30,Fuzzy HAR,XRP,5.288770206910526e-06,0.1271158992294768
t+30,RV-FTS,ADA,1.2211310338186798e-05,0.23430706168881574
t+30,RV-FTS,BNB,8.335356527420102e-06,0.2857798023187569
t+30,RV-FTS,BTC,1.3744795005513893e-06,0.2092730144075413
t+30,RV-FTS,DOGE,8.205823558752809e-06,0.33465526901589665
t+30,RV-FTS,ETH,5.292121374025451e-06,0.2337028868656254
t+30,RV-FTS,TRX,4.46096367855036e-06,0.30225713062830767
t+30,RV-FTS,XLM,1.1681907190204746e-05,0.25680524813032285
t+30,RV-FTS,XRP,1.5865000504538412e-05,0.287003950002914
