Horizon,Model,Symbol,MSE,QLIKE
t+1,HAR,ADA,6.245063889389552e-06,0.41687650502085494
t+1,HAR,BNB,2.544782367978529e-06,0.46132118626870255
t+1,HAR,BTC,9.72873404704337e-07,0.49206174940148956
t+1,HAR,DOGE,2.0835420612021337e-05,0.5585918871403078
t+1,HAR,ETH,2.354713735686264e-06,0.469155360762292
t+1,HAR,TRX,4.654095043103786e-07,0.5212716998194308
t+1,HAR,XLM,2.0287176156892883e-05,0.47480708988416237
t+1,HAR,XRP,2.12743153587791e-05,0.6665849470939822
t+1,HAR-CJ,ADA,5.53930612004644e-06,0.3503172390625913
t+1,HAR-CJ,BNB,2.1984127678470446e-06,0.36928550484230227
t+1,HAR-CJ,BTC,8.781278985217172e-07,0.41963785533922776
t+1,HAR-CJ,DOGE,1.633351828478327e-05,0.4480175397108833
t+1,HAR-CJ,ETH,2.0517181587159167e-06,0.3894959815045622
t+1,HAR-CJ,TRX,3.9951648212695654e-07,0.390905532405729
t+1,HAR-CJ,XLM,1.8487372761275586e-05,0.424706759621778
t+1,HAR-CJ,XRP,2.083149225546965e-05,0.6208150242042798
t+1,HAR-SJ,ADA,5.574208308448397e-06,0.35755660140178225
t+1,HAR-SJ,BNB,2.3704234840798132e-06,0.37196019583184103
t+1,HAR-SJ,BTC,9.393778614832552e-07,0.4290101159171915
t+1,HAR-SJ,DOGE,1.620747971339054e-05,0.4468903476100891
t+1,HAR-SJ,ETH,2.199104464581117e-06,0.43241308822484475
t+1,HAR-SJ,TRX,3.7169665586991e-07,0.37184867405902156
t+1,HAR-SJ,XLM,2.029528218644479e-05,0.4219205824898398
t+1,HAR-SJ,XRP,1.997800151993209e-05,0.6106707036337724
t+1,HAR-TCJ,ADA,5.345021930905516e-06,0.328458333167735
t+1,HAR-TCJ,BNB,2.147534645422373e-06,0.35642284685471814
t+1,HAR-TCJ,BTC,8.372556260767935e-07,0.4060525757351409
t+1,HAR-TCJ,DOGE,1.6401173619167062e-05,0.4306198878091366
t+1,HAR-TCJ,ETH,1.850134261588265e-06,0.3624621344825279
