Horizon,Model,Symbol,MSE,QLIKE
t+7,LHAR-TCJ,ADA,2.555927380531661e-05,0.28031461666308527
t+7,LHAR-TCJ,BNB,1.2124469313933023e-05,0.30836294980428436
t+7,LHAR-TCJ,BTC,2.07968190436131e-06,0.23215326089762217
t+7,LHAR-TCJ,DOGE,1.647436243314516e-05,0.4087034874830131
t+7,LHAR-TCJ,ETH,8.21886710101872e-06,0.25067328631294306
t+7,LHAR-TCJ,TRX,6.01743416134397e-06,323989.8958448167
t+7,LHAR-TCJ,XLM,2.172663972725753e-05,0.32054594987980944
t+7,LHAR-TCJ,XRP,3.0453316972997893e-05,0.3768400328281263
t+7,Fuzzy HAR,ADA,1.521971886085698e-05,16546903.222209789
t+7,Fuzzy HAR,BNB,6.827612617868986e-06,16780939.997317124
t+7,Fuzzy HAR,BTC,1.3694185297608915e-06,4129301.7330419593
t+7,Fuzzy HAR,DOGE,1.0818342241351894e-05,4406073.032184325
t+7,Fuzzy HAR,ETH,5.283409401765567e-06,9446056.664046604
t+7,Fuzzy HAR,TRX,3.9647407586814585e-06,978640.5571099622
t+7,Fuzzy HAR,XLM,1.099901413742862e-05,0.20231022962773268
t+7,Fuzzy HAR,XRP,1.3650117751261314e-05,16887126.63457089
t+7,RV-FTS,ADA,2.7586971130279792e-05,0.33744484400955693
t+7,RV-FTS,BNB,1.555476704643426e-05,0.331572088527448
t+7,RV-FTS,BTC,3.205923118571963e-06,0.3000482573874857
t+7,RV-FTS,DOGE,1.642516740853395e-05,0.4859084065637699
t+7,RV-FTS,ETH,8.868725482960935e-06,0.29166986017912383
t+7,RV-FTS,TRX,7.167228691454288e-06,0.3606513956724448
t+7,RV-FTS,XLM,2.1807403970273895e-05,0.38103479078473335
t+7,RV-FTS,XRP,1.8993423749930767e-05,0.4552756650978838
t+30,HAR,ADA,1.3564586547604272e-05,0.2623594645168564
t+30,HAR,BNB,7.098883755048769e-06,0.290537437650394
t+30,HAR,BTC,1.1078048660680782e-06,0.18778772940291993
t+30,HAR,DOGE,1.629550051717967e-05,0.3640303496882372
t+30,HAR,ETH,4.29714243969591e-06,0.24500772725432726
t+30,HAR,TRX,3.971994008269262e-06,0.34010913172693163
t+30,HAR,XLM,1.1008767161313512e-05,0.27349743056288495
t+30,HAR,XRP,1.155570966427454e-05,0.21726770524120748
t+30,HAR-CJ,ADA,1.3345345021427417e-05,0.2568206529570125
t+30,HAR-CJ,BNB,7.001456437701542e-06,3978951.059254501
t+30,HAR-CJ,BTC,1.0686041791277989e-06,0.1812281105353129
t+30,HAR-CJ,DOGE,1.6017405549184024e-05,3368777.567533201
t+30,HAR-CJ,ETH,4.20599482514e-06,0.23754284075450618
t+30,HAR-CJ,TRX,3.883961921495724e-06,0.3277893832882539
t+30,HAR-CJ,XLM,1.0890682565832483e-05,0.2700032363089385
t+30,HAR-CJ,XRP,1.147461949224335e-05,0.2158691495424119
t+30,HAR-SJ,ADA,1.5133605907254812e-05,0.2578965783129872
t+30,HAR-SJ,BNB,7.069090023794438e-06,0.28511269031171665
t+30,HAR-SJ,BTC,1.1765607983408407e-06,190566.86127432587
t+30,HAR-SJ,DOGE,1.572834378647137e-05,0.352929603909042
t+30,HAR-SJ,ETH,4.604708976600127e-06,0.23916865310302673
t+30,HAR-SJ,TRX,4.1947743172309376e-06,5752745.187271106
t+30,HAR-SJ,XLM,1.1357219417277546e-05,0.2707607606621906
t+30,HAR-SJ,XRP,1.1351796997635732e-05,524282.5625499087
t+30,HAR-TCJ,ADA,1.2126607156987798e-05,0.24974567514908502
t+30,HAR-TCJ,BNB,6.830885968400008e-06,0.27334175998487203
